daily_avg,Date
13.98836565,10/16/14 0:00
6.40704243,12/31/16 0:00
9.426109845,11/23/12 0:00
9.465483761,11/2/13 0:00
28.81884621,11/8/17 0:00
13.64046939,10/14/15 0:00
9.99262687,10/27/19 0:00
36.7193639,4/27/19 0:00
13.35969145,10/20/14 0:00
12.44631273,2/22/17 0:00
24.89205321,9/26/19 0:00
4.721759494,11/23/19 0:00
17.10571146,12/16/18 0:00
0.506083474,12/12/19 0:00
2.363413999,9/10/20 0:00
0.276931095,12/1/18 0:00
7.704595361,12/28/11 0:00
16.18559159,10/3/15 0:00
2.004502657,4/18/18 0:00
2.719895439,12/19/16 0:00
2.467359376,2/4/17 0:00
15.20395739,9/30/15 0:00
0.685018773,1/1/19 0:00
21.39464938,11/5/19 0:00
8.466052888,11/30/13 0:00
13.46564466,9/13/13 0:00
26.34444191,10/14/17 0:00
0.95324692,11/24/16 0:00
2.071639557,11/17/19 0:00
15.14808301,10/8/14 0:00
1.450536729,12/11/13 0:00
8.559802073,1/4/12 0:00
9.032061279,1/18/13 0:00
14.4381743,9/22/14 0:00
9.816647132,11/11/16 0:00
2.13685395,1/2/19 0:00
13.32924155,9/2/20 0:00
7.395438689,12/2/17 0:00
0.918669723,11/8/11 0:00
1.256621069,12/22/18 0:00
9.717576096,12/6/14 0:00
12.78920436,10/22/16 0:00
2.414339005,10/19/19 0:00
12.22998379,10/6/20 0:00
2.686326429,12/1/15 0:00
11.82002419,10/14/13 0:00
8.275832075,1/13/14 0:00
9.093482256,1/27/14 0:00
1.034356815,11/16/15 0:00
40.05289136,1/11/19 0:00
2.003601657,12/18/16 0:00
0.835406702,11/26/11 0:00
4.44442835,11/21/18 0:00
13.29584093,9/29/17 0:00
22.98158022,9/8/20 0:00
9.597362133,11/23/13 0:00
8.070424683,11/25/14 0:00
12.5619596,10/7/13 0:00
14.92994634,10/2/15 0:00
9.986935261,11/14/12 0:00
15.38063208,9/23/18 0:00
17.67968382,11/3/18 0:00
10.79711857,10/25/13 0:00
6.311598439,12/17/13 0:00
12.28557393,10/25/17 0:00
14.23435005,9/6/19 0:00
0.483419072,1/1/16 0:00
7.544295916,12/10/17 0:00
11.07282512,11/7/15 0:00
13.47188539,9/28/17 0:00
14.53799791,9/22/18 0:00
12.47855826,10/8/17 0:00
14.00499374,9/30/11 0:00
14.41310206,9/22/13 0:00
10.29264491,11/15/11 0:00
4.4413338,2/2/20 0:00
15.117263,9/19/15 0:00
1.646948964,6/9/20 0:00
6.102696712,2/29/20 0:00
12.82659455,2/27/16 0:00
6.443526437,3/3/18 0:00
14.99911324,9/21/13 0:00
9.082018816,9/9/18 0:00
13.20031521,10/15/15 0:00
25.8820268,10/16/17 0:00
9.134921641,10/27/18 0:00
8.023523221,11/21/12 0:00
16.73216802,12/25/18 0:00
2.695710389,12/3/12 0:00
1.373881545,1/2/14 0:00
24.78806008,12/2/19 0:00
11.18622522,11/21/14 0:00
1.466996797,1/4/16 0:00
1.462905435,12/31/17 0:00
9.498651486,9/10/18 0:00
3.532625177,12/16/15 0:00
7.625585374,12/31/11 0:00
3.461352509,11/18/16 0:00
6.520753322,10/29/19 0:00
8.803889797,1/26/13 0:00
9.911556288,1/29/14 0:00
3.375316775,12/18/19 0:00
1.192270253,1/15/20 0:00
9.698417134,11/15/16 0:00
13.13458534,10/1/13 0:00
9.214801934,1/28/14 0:00
13.29950249,10/17/15 0:00
12.57984725,10/25/15 0:00
1.581085191,12/14/19 0:00
11.71073537,2/20/16 0:00
8.858835944,1/6/17 0:00
13.58587327,9/3/20 0:00
12.67168243,10/7/12 0:00
1.88295698,1/21/20 0:00
6.642861251,12/9/16 0:00
11.45755206,10/27/13 0:00
25.77237909,3/14/18 0:00
11.33681406,10/28/12 0:00
12.54116288,10/23/16 0:00
1.77724402,12/10/13 0:00
11.69608805,10/8/20 0:00
1.817861607,2/10/13 0:00
4.310480219,1/6/14 0:00
17.78655132,7/2/18 0:00
10.01804926,6/13/19 0:00
22.74896065,3/8/18 0:00
20.66799251,4/3/20 0:00
34.28640668,12/22/20 0:00
6.602936967,11/26/13 0:00
1.630799558,1/17/17 0:00
0.023195001,12/23/13 0:00
14.46326899,8/19/20 0:00
9.790941036,11/8/14 0:00
11.85805055,10/10/13 0:00
6.08281612,2/26/18 0:00
7.613685377,12/7/13 0:00
36.74385216,8/28/19 0:00
7.235278667,12/6/13 0:00
15.97265854,9/13/14 0:00
11.88202696,10/12/13 0:00
15.01836341,10/8/16 0:00
7.117152397,9/23/19 0:00
32.95894431,10/17/17 0:00
12.34561029,10/9/13 0:00
0.391332309,1/10/14 0:00
0.081117298,2/2/15 0:00
1.356721656,12/13/20 0:00
1.166895887,2/12/20 0:00
9.267330435,11/30/11 0:00
12.27312139,2/18/12 0:00
38.62397099,7/28/20 0:00
0.37477335,1/27/13 0:00
15.55577766,9/13/15 0:00
7.535045353,12/1/13 0:00
1.220340965,3/23/16 0:00
3.699324003,10/18/20 0:00
12.32300874,10/8/12 0:00
1.155630674,12/23/14 0:00
2.120720707,1/20/17 0:00
13.14890831,3/21/19 0:00
13.16625877,10/18/16 0:00
19.55264967,2/1/20 0:00
1.522240816,12/20/11 0:00
2.094232507,12/27/11 0:00
10.7457172,10/29/11 0:00
22.50005806,11/6/20 0:00
8.887372071,1/19/12 0:00
14.22461977,7/10/20 0:00
13.88572336,10/11/15 0:00
12.68322839,10/5/11 0:00
9.592622317,11/5/16 0:00
3.04284835,12/25/19 0:00
13.03256866,10/4/11 0:00
6.306894513,3/4/18 0:00
22.90313121,10/29/18 0:00
8.609107602,3/10/20 0:00
4.761541795,10/31/20 0:00
7.015818249,3/12/18 0:00
2.73441513,11/19/19 0:00
7.796298091,1/2/13 0:00
7.859839412,3/30/20 0:00
15.08396895,9/12/15 0:00
3.158642148,10/14/18 0:00
2.725346431,12/27/20 0:00
1.789533157,1/9/17 0:00
1.105142624,11/5/18 0:00
1.057596717,11/22/11 0:00
7.312345333,1/19/13 0:00
0.901709268,11/23/15 0:00
4.278127627,2/3/20 0:00
0.140119396,12/20/12 0:00
5.733160805,11/12/19 0:00
47.63232062,12/30/20 0:00
17.47245497,8/24/15 0:00
6.371689462,1/11/14 0:00
7.500803811,12/29/16 0:00
1.062493801,2/1/13 0:00
9.313637671,12/9/15 0:00
0.43176655,11/27/18 0:00
3.269087594,11/25/19 0:00
11.36675125,10/13/11 0:00
23.58358131,10/18/17 0:00
14.44156738,10/1/15 0:00
12.51318208,11/10/17 0:00
23.04801849,12/16/19 0:00
13.2469959,1/30/15 0:00
15.38604358,4/19/19 0:00
14.60691595,9/20/15 0:00
14.76894783,9/29/16 0:00
7.29548036,12/18/17 0:00
13.61369469,10/25/14 0:00
14.81299084,8/6/12 0:00
11.6001851,10/15/11 0:00
30.08607853,3/31/19 0:00
8.029299096,12/13/12 0:00
12.29716127,10/10/12 0:00
17.88123085,8/20/15 0:00
1.552844284,1/21/17 0:00
5.167991916,1/13/19 0:00
4.746086954,1/20/20 0:00
3.956368789,11/18/20 0:00
13.94982436,4/8/19 0:00
0.353328334,12/31/15 0:00
12.14559548,2/7/16 0:00
12.69463672,2/27/14 0:00
13.75037331,9/10/12 0:00
14.41320903,9/21/15 0:00
